연번,소재지,지목,면적(㎡),공시가격(원/㎡),조정가격(원/㎡),,
260,제주특별자치도 서귀포시 대정읍 신도리 1278-5,전,152 ,22500 ,18500 ,,
261,제주특별자치도 서귀포시 대정읍 신도리 3068,대,457 ,98000 ,66300 ,,
262,제주특별자치도 서귀포시 남원읍 남원리 94-6,대,122 ,210000 ,219800 ,,
263,제주특별자치도 서귀포시 남원읍 남원리 113-1,대,1466 ,750000 ,765000 ,,
264,제주특별자치도 서귀포시 남원읍 남원리 192,과,2023 ,145000 ,100600 ,,
265,제주특별자치도 서귀포시 남원읍 남원리 203-5,과,496 ,240000 ,287700 ,,
266,제주특별자치도 서귀포시 남원읍 남원리 216-9,대,974 ,245000 ,378700 ,,
267,제주특별자치도 서귀포시 남원읍 남원리 216-21,대,828 ,245000 ,235200 ,,
268,제주특별자치도 서귀포시 남원읍 남원리 742,과,7553 ,28000 ,23800 ,,
269,제주특별자치도 서귀포시 남원읍 남원리 746,과,4979 ,28000 ,23800 ,,
270,제주특별자치도 서귀포시 남원읍 남원리 747,과,17336 ,28000 ,23800 ,,
271,제주특별자치도 서귀포시 남원읍 남원리 774,과,14156 ,58000 ,48900 ,,
272,제주특별자치도 서귀포시 남원읍 남원리 1171-1,과,1894 ,38000 ,34500 ,,
273,제주특별자치도 서귀포시 남원읍 남원리 1383-1,대,15740 ,315000 ,224400 ,,
274,제주특별자치도 서귀포시 남원읍 남원리 1945,임,348 ,32000 ,21600 ,,
275,제주특별자치도 서귀포시 남원읍 남원리 1978-1,임,2763 ,32000 ,17100 ,,
276,제주특별자치도 서귀포시 남원읍 남원리 1978-3,임,97 ,32000 ,17300 ,,
277,제주특별자치도 서귀포시 남원읍 남원리 1980,과,4753 ,32000 ,29400 ,,
278,제주특별자치도 서귀포시 남원읍 태흥리 585,대,668 ,117000 ,122100 ,,
279,제주특별자치도 서귀포시 남원읍 태흥리 585-1,전,1509 ,137000 ,103000 ,,
280,제주특별자치도 서귀포시 남원읍 태흥리 1302-1,과,1333 ,62000 ,86800 ,,
281,제주특별자치도 서귀포시 남원읍 태흥리 1895-3,대,988 ,100000 ,118300 ,,
282,제주특별자치도 서귀포시 남원읍 한남리 37-2,과,6820 ,35000 ,29200 ,,
283,제주특별자치도 서귀포시 남원읍 한남리 315,전,14889 ,35000 ,28700 ,,
284,제주특별자치도 서귀포시 남원읍 한남리 320,전,1468 ,35000 ,26500 ,,
285,제주특별자치도 서귀포시 남원읍 한남리 580,과,2400 ,23000 ,22700 ,,
286,제주특별자치도 서귀포시 남원읍 한남리 1275,전,3366 ,12000 ,9550 ,,
287,제주특별자치도 서귀포시 남원읍 한남리 1276-1,전,1652 ,30000 ,13400 ,,
288,제주특별자치도 서귀포시 남원읍 한남리 1277,전,1855 ,30000 ,12800 ,,
289,제주특별자치도 서귀포시 남원읍 한남리 1612,임,1742 ,6400 ,6450 ,,
290,제주특별자치도 서귀포시 남원읍 의귀리 1111-1,과,321 ,20000 ,19600 ,,
291,제주특별자치도 서귀포시 남원읍 의귀리 1120,과,2291 ,20000 ,17800 ,,
292,제주특별자치도 서귀포시 남원읍 의귀리 1775-5,과,32637 ,28000 ,24900 ,,
293,제주특별자치도 서귀포시 남원읍 의귀리 1915,과,2307 ,83000 ,70100 ,,
294,제주특별자치도 서귀포시 남원읍 신흥리 555-11,과,113 ,27000 ,20800 ,,
295,제주특별자치도 서귀포시 남원읍 신흥리 556,과,400 ,51000 ,51000 ,,
296,제주특별자치도 서귀포시 남원읍 신흥리 2163-10,임,191 ,16000 ,18600 ,,
297,제주특별자치도 서귀포시 남원읍 위미리 1542-2,대,360 ,180000 ,154800 ,,
298,제주특별자치도 서귀포시 남원읍 위미리 1641-5,장,688 ,232000 ,220600 ,,
299,제주특별자치도 서귀포시 남원읍 위미리 1715-1,대,1009 ,140000 ,119500 ,,
300,제주특별자치도 서귀포시 남원읍 위미리 2801-2,대,414 ,197000 ,222800 ,,
301,제주특별자치도 서귀포시 남원읍 위미리 3199-2,대,506 ,189000 ,173600 ,,
302,제주특별자치도 서귀포시 남원읍 위미리 4319-2,과,3322 ,34000 ,28400 ,,
303,제주특별자치도 서귀포시 남원읍 위미리 4319-4,과,2115 ,34000 ,28400 ,,
304,제주특별자치도 서귀포시 남원읍 하례리 596,전,492 ,79000 ,68000 ,,
305,제주특별자치도 서귀포시 남원읍 하례리 1235-2,임,824 ,19000 ,16500 ,,
306,제주특별자치도 서귀포시 남원읍 하례리 1235-3,임,60 ,19000 ,16000 ,,
307,제주특별자치도 서귀포시 남원읍 하례리 1235-4,임,202 ,19000 ,11500 ,,
308,제주특별자치도 서귀포시 남원읍 하례리 1236,임,833 ,19000 ,18800 ,,
