"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
50110-00040,한림공원,근린공원,제주특별자치도 제주시 한림읍 협재리 2610,제주특별자치도 제주시 한림읍 한림로 300,33.388226,126.240315,329290,,,,,,,,,2017-06-26
50110-00039,대림공원,근린공원,제주특별자치도 제주시 한림읍 대림리 977,,33.429488,126.281103,190240,,,,,,,,,2017-06-26
50110-00038,명월공원,근린공원,제주특별자치도 제주시 한림읍 명월리 2200,,33.401663,126.261274,265990,,,,,,,,,2017-06-26
50110-00037,아라제2근린공원,근린공원,제주특별자치도 제주시 아라1동 6125,,33.4729497,126.5507627,11292,,,,,,,,,2017-06-26
50110-00036,아라제1근린공원,근린공원,제주특별자치도 제주시 아라1동 6055,,33.4731645,126.5412033,10323,,,,,,,,,2017-06-26
50110-00035,삼화제7근린공원,근린공원,제주특별자치도 제주시 화북1동 1011,,33.5165804,126.575061,23139,,,,,,,,,2017-06-26
50110-00034,삼화제6근린공원,근린공원,제주특별자치도 제주시 도련1동 1912,,33.513646,126.583358,11734,,,,,,,,,2017-06-26
50110-00033,삼화제5근린공원,근린공원,제주특별자치도 제주시 도련1동 1895-1,,33.530836,126.591053,27047,,,,,,,,,2017-06-26
50110-00032,삼화제4근린공원,근린공원,제주특별자치도 제주시 도련1동 1966,,33.513417,126.581658,20459,,,,,,,,,2017-06-26
50110-00031,삼화제3근린공원,근린공원,제주특별자치도 제주시 삼양이동 2329,,33.519103,126.580961,10789,,,,,,,,,2017-06-26
50110-00030,삼화제2근린공원,근린공원,제주특별자치도 제주시 삼양이동 2315,,33.516851,126.580502,14611,,,,,,,,,2017-06-26
50110-00029,삼화제1근린공원,근린공원,제주특별자치도 제주시 삼양이동 2321,,33.517549,126.580383,15065,,,,,,,,,2017-06-26
50110-00028,첨단제5근린공원,근린공원,제주특별자치도 제주시 월평동 718-3,,33.451844,126.576524,10153,,,,,,,,,2017-06-26
50110-00027,첨단제4근린공원,근린공원,제주특별자치도 제주시 아라1동 3009,,33.426138,126.562693,24126,,,,,,,,,2017-06-26
50110-00026,첨단제3근린공원,근린공원,제주특별자치도 제주시 영평동 2186-2,,33.424166,126.576973,32518,,,,,,,,,2017-06-26
50110-00025,첨단제2근린공원,근린공원,제주특별자치도 제주시 월평동 746-2,,33.454009,126.575495,13842,,,,,,,,,2017-06-26
50110-00024,첨단제1근린공원,근린공원,제주특별자치도 제주시 영평동 2180,,33.449636,126.5735901,12153,,,,,,,,,2017-06-26
50110-00065,제1-11호,어린이공원,제주특별자치도 제주시 노형동 921,제주특별자치도 제주시 원노형2길 33-6 (노형동),33.482996,126.482376,3955,,,,,,,,,2017-06-26
50110-00064,제1-10호,어린이공원,제주특별자치도 제주시 노형동 910-7,,33.486826,126.484084,1405,,,,,,,,,2017-06-26
50110-00063,제1-9호,어린이공원,제주특별자치도 제주시 연동 266-2,,33.483155,126.488893,2055,,,,,,,,,2017-06-26
50110-00062,제1-8호,어린이공원,제주특별자치도 제주시 연동 252-23,,33.487378,126.486298,1341,,,,,,,,,2017-06-26
50110-00188,입산공원,묘지공원,제주특별자치도 제주시 구좌읍 김녕리 1037-2,제주특별자치도 제주시 구좌읍 김녕리 1037-2,33.548506,126.758629,165560,,,,,,,,,2017-06-26
50110-00187,산짓물공원,문화공원,제주특별자치도 제주시 건입동 1343,제주특별자치도 제주시 중앙로1길 34-10 (건입동),33.515593,126.528636,7611,,,,,,,,,2017-06-26
50110-00186,신비의도로공원,문화공원,제주특별자치도 제주시 노형동 291,제주특별자치도 제주시 노형동 291,33.449298,126.487929,96930,,,,,,,,,2017-06-26
50110-00185,용담체육공원,체육공원,제주특별자치도 제주시 용담3동 1089,제주특별자치도 제주시 용담3동 1089,33.518412,126.499606,22530,,,,,,,,,2017-06-26
50110-00184,관덕공원,역사공원,제주특별자치도 제주시 삼도2동 43-2,제주특별자치도 제주시 삼도2동 43-2,33.513537,126.522195,16000,,,,,,,,,2017-06-26
50110-00183,노형2지구어린이공원2,어린이공원,제주특별자치도 제주시 노형동 3799,제주특별자치도 제주시 노형동 3799,33.480968,126.4769053,1745,,,,,,,,,2017-06-26
50110-00182,노형2지구어린이공원1,어린이공원,제주특별자치도 제주시 노형동 3790-1,제주특별자치도 제주시 노형동 3790-1,33.4832141,126.4784342,1577,,,,,,,,,2017-06-26
50110-00181,샘물공원,어린이공원,제주특별자치도 제주시 조천읍 함덕리 272-76,제주특별자치도 제주시 조천읍 함덕리 272-76,33.540428,126.675457,1500,,,,,,,,,2017-06-26
50110-00180,함덕2호어린이공원,어린이공원,제주특별자치도 제주시 조천읍 함덕리 4145-1,제주특별자치도 제주시 조천읍 함덕리 4145-1,33.539241,126.673752,1525,,,,,,,,,2017-06-26
50110-00179,함덕1호어린이공원,어린이공원,제주특별자치도 제주시 조천읍 함덕리 4154-3,제주특별자치도 제주시 조천읍 함덕리 4154-3,33.539448,126.675631,4773,,,,,,,,,2017-06-26
50110-00178,용암해수제2공원,어린이공원,제주특별자치도 제주시 구좌읍 한동리 4849-17,제주특별자치도 제주시 구좌읍 한동리 4849-17,33.5402143,126.8156362,2560,,,,,,,,,2017-06-26
50110-00177,세화어린이공원,어린이공원,제주특별자치도 제주시 구좌읍 세화리 3645-1,제주특별자치도 제주시 구좌읍 세화리 3645-1,33.525926,126.854657,2280,,,,,,,,,2017-06-26
50110-00176,하귀2호어린이공원,어린이공원,제주특별자치도 제주시 애월읍 하귀1리 234-3,제주특별자치도 제주시 애월읍 하귀1리 234-3,33.4816571,126.4136159,1880,,,,,,,,,2017-06-26
50110-00175,하귀1호어린이공원,어린이공원,제주특별자치도 제주시 애월읍 하귀1리 148-1,제주특별자치도 제주시 애월읍 하귀1리 148-1,33.4863997,126.4188516,1677,,,,,,,,,2017-06-26
50110-00174,제1-120호,어린이공원,제주특별자치도 제주시 아라1동 6159-1,제주특별자치도 제주시 아라1동 6159-1,33.4261379,126.5512669,1647,,,,,,,,,2017-06-26
50110-00173,제1-119호,어린이공원,제주특별자치도 제주시 아라1동 6141-9,제주특별자치도 제주시 아라1동 6141-9,33.4708018,126.5469325,1874,,,,,,,,,2017-06-26
50110-00172,제1-118호,어린이공원,제주특별자치도 제주시 아라1동 6131-3,제주특별자치도 제주시 아라1동 6131-3,33.4726991,126.5485311,1641,,,,,,,,,2017-06-26
50110-00171,제1-117호,어린이공원,제주특별자치도 제주시 아라1동 6111-1,제주특별자치도 제주시 아라1동 6111-1,33.4764847,126.5490568,1956,,,,,,,,,2017-06-26
50110-00170,제1-116호,어린이공원,제주특별자치도 제주시 아라1동 6108-3,제주특별자치도 제주시 아라1동 6108-3,33.4759477,126.5464175,1758,,,,,,,,,2017-06-26
50110-00169,제1-115호,어린이공원,제주특별자치도 제주시 아라1동 6077,제주특별자치도 제주시 아라1동 6077,33.4695578,126.5448081,2639,,,,,,,,,2017-06-26
